Name,Version,Summary / License
simplejson,3.12.0,"Simple, fast, extensible JSON encoder/decoder for Python / MIT"
singledispatch,3.4.0.3,Transforms a function into a single-dispatch generic function / MIT
sip,4.18.1,Create Python bindings for C and C++ libraries / GPL-3.0
six,1.11.0,Python 2 and 3 compatibility utilities / MIT
snakeviz,0.4.2,Web-based viewer for Python profiler output / BSD
snappy,1.1.7,A fast compressor/decompressor / BSD 3-clause
snowballstemmer,1.2.1,Snowball stemming library collection for Python / BSD-2-Clause
snuggs,1.4.1,Snuggs are s-expressions for NumPy. / MIT
sockjs-tornado,1.0.3,SockJS python server implementation on top of Tornado framework / MIT
sortedcollections,0.5.3,Python Sorted Collections / Apache-2.0
sortedcontainers,1.5.9,"Python Sorted Container Types: SortedList, SortedDict, and SortedSet / Apache 2.0"
spacy,2.0.5,Industrial-strength Natural Language Processing / MIT
sphinx,1.6.6,Sphinx is a tool that makes it easy to create intelligent and beautiful documentation / BSD 2-clause
sphinx_rtd_theme,0.2.4,ReadTheDocs.org theme for Sphinx / BSD
sphinxcontrib,1,Python namespace for sphinxcontrib / BSD
sphinxcontrib-websupport,1.0.1,Sphinx API for Web Apps / BSD-2-Clause
spyder,3.2.6,Scientific PYthon Development EnviRonment / MIT
sqlalchemy,1.2.1,Database Abstraction Library. / MIT
sqlite,3.22.0,"Implements a self-contained, zero-configuration, SQL database engine. / Public-Domain (http://www.sqlite.org/copyright.html)"
sqlparse,0.2.3,non-validating SQL parser module / BSD
statsmodels,0.8.0,Statistical computations and models for use with SciPy / BSD 3-Clause
stripe,1.75.0,Stripe python bindings / MIT
suds-jurko,0.6,Lightweight SOAP client (Jurko's fork) / GNU Library or Lesser General Public License LGPL
svn,1.9.7,Intuitive Subversion wrapper / Apache Software License V.2
swig,3.0.12,C/C++ parser code generator / GPL 3
sympy,1.1.1,Python library for symbolic mathematics / 3-clause BSD
tabpy-server,0.2,Web server Tableau uses to run Python scripts / MIT
tblib,1.3.2,Traceback serialization library. / BSD 2-Clause
tempita,0.5.3,A very small text templating language / MIT
tensorflow,1.4.1,TensorFlow is a machine learning library. / Apache 2.0
teradata,15.10.0.21,Script powerful interactions with Teradata Database / MIT
termcolor,1.1.0,ANSII Color formatting for output in terminal / MIT
terminado,0.8.1,Terminals served by tornado websockets / BSD 3-clause
testpath,0.3.1,Testpath is a collection of utilities for Python code working with files and commands. / MIT
theano,1.0.1,Optimizing compiler for evaluating mathematical expressions on CPUs and GPUs. / BSD 3-Clause
tk,8.6.7,A dynamic programming language with GUI support. Bundles Tcl and Tk. / Tcl/Tk
toolz,0.9.0,A functional standard library for Python. / BSD 3-Clause
tornado,4.5.3,"A Python web framework and asynchronous networking library, originally developed at FriendFeed. / Apache 2.0"
tornado-json,1.3.2,simple JSON API framework based on Tornado / MIT
tqdm,4.19.4,"A Fast, Extensible Progress Meter / MPLv2.0, MIT"
traitlets,4.3.2,Configuration system for Python applications / BSD 3-clause
traits,4.6.0,Explicitly typed attributes for Python / BSD
traitsui,5.1.0,Traits-capable windowing framework / BSD
transaction,2.1.2,Transaction management for Python / ZPL 2.1
translationstring,1.3,Utility library for i18n / BSD
trollius,2.1,"port of the Tulip project (asyncio module, PEP 3156) / Apache"
twisted,17.9.0,event-driven networking engine / MIT
typing,3.6.2,Type Hints for Python - backport for Python<3.5 / PSF
ujson,1.35,Ultra fast JSON encoder and decoder for Python / BSD
unicodecsv,0.14.1,Drop-in replacement for csv module which supports unicode strings / BSD
unidecode,0.04.21,ASCII transliterations of Unicode text / GNU General Public License v2 or later (GPL v2+)
unixodbc,2.3.4,ODBC on non MS Windows platforms / LGPL-2.1
urllib3,1.22,"HTTP library with thread-safe connection pooling, file post, and more. / MIT"
vcversioner,2.16.0.0,Take version numbers from version control. / ISC
venusian,1.1.0,A library for deferring decorator actions / BSD
w3lib,1.18.0,Library of web-related functions / BSD
waitress,1.1.0,Production-quality WSGI server with very acceptable performance / ZPL 2.1
wcwidth,0.1.7,Measures number of Terminal column cells of wide-character codes. / MIT
webencodings,0.5.1,Character encoding aliases for legacy web content / BSD 3-Clause
webob,1.7.3,WSGI request and response object / MIT
webtest,2.0.29,helper to test WSGI applications / MIT
werkzeug,0.14.1,The Python WSGI Utility Library. / BSD 3-Clause
wget,1.19.1,utility for non-interactive download of files from the Web / GPL3
wheel,0.30.0,A built-package format for Python. / MIT
whoosh,2.7.4,Full-text indexing and searching library / Two-clause BSD license
widgetsnbextension,3.1.0,IPython HTML widgets for Jupyter / BSD 3-clause
word2vec,0.9.2,Python interface to Google word2vec / Apache-2.0
workerpool,0.9.4,Module for distributing jobs to a pool of worker threads / MIT
wrapt,1.10.11,"Module for decorators, wrappers and monkey patching. / BSD 2-Clause"
wtforms,2.1,A flexible forms validation and rendering library for Python / BSD
xarray,0.10.0,N-D labeled arrays and datasets in Python. / Apache-2.0
xerces-c,3.2.0,Xerces-C++ is a validating XML parser written in a portable subset of C++. / Apache 2.0
xlrd,1.1.0,Library for developers to extract data from Microsoft Excel (tm) spreadsheet files / BSD 3-Clause and BSD with advertising
xlsxwriter,1.0.2,A Python module for creating Excel XLSX files / BSD 2-Clause
xlwings,0.11.5,Interact with Excel from Python and vice versa / 3-clause BSD
xlwt,1.2.0,Writing data and formatting information to Excel files / BSD
xz,5.2.3,Data compression software with high compression ratio / LGPL-2.1 and GPL-2.0
yaml,0.1.7,A C library for parsing and emitting YAML. / MIT
yarl,0.14.2,Yet another URL library / Apache 2.0
yt,3.3.5,An analysis and visualization toolkit for volumetric data / BSD 3-clause
zeromq,4.2.2,A high-performance asynchronous messaging library. / LGPL 3
zict,0.1.3,Composable Dictionary Classes / BSD 3-Clause
zlib,1.2.11,Massively spiffy yet delicately unobtrusive compression library / zlib
zope.deprecation,4.3.0,Zope Deprecation Infrastructure / ZPL 2.1
zope.interface,4.4.3,Interfaces for Python / ZPL 2.1
zope.sqlalchemy,0.7.7,Minimal Zope/SQLAlchemy transaction integration / ZPL 2.1
